position,position_label,layer,mean,std,ci_low,ci_high,n_pairs
3,"""was"" immediately after entity",28,0.040646540494706576,0.01772071254404477,0.03282672003670584,0.04929130178917674,16
3,"""was"" immediately after entity",29,0.03294437108527613,0.013659293573803846,0.02655272127462812,0.03965651388440918,16
3,"""was"" immediately after entity",30,0.03087028122091674,0.016548461298546955,0.023547062383063287,0.03892754016837279,16
3,"""was"" immediately after entity",31,0.01680199823280033,0.011691650116978454,0.011426054299351427,0.02234857747077591,16
3,"""was"" immediately after entity",32,0.013224101717575456,0.009502732595831433,0.00862032702549201,0.017823602373461887,16
3,"""was"" immediately after entity",33,0.013934482023544002,0.008958748856664086,0.009683629652038664,0.018168495461965063,16
3,"""was"" immediately after entity",34,0.010012435958765307,0.011670240521681027,0.0044684036717029755,0.01565769210810002,16
3,"""was"" immediately after entity",35,0.0,0.0,0.0,0.0,16
4,"""a""",0,-0.0025081591959285874,0.01129744552415917,-0.008228815760488105,0.0021720671749497983,16
4,"""a""",1,0.0016450410525442878,0.01245258166797943,-0.004157561474781585,0.007642129415853909,16
4,"""a""",2,-0.0017744778199741437,0.008031019606370933,-0.005685555221688018,0.0019874937154348814,16
4,"""a""",3,-0.00023337107555223115,0.010352482389263003,-0.004863461834006313,0.004798896722150397,16
4,"""a""",4,-0.0011033204174684874,0.006793492096623882,-0.004412958564376594,0.002040212130573569,16
4,"""a""",5,0.00048255129979085014,0.010163713479660871,-0.004317009092648865,0.005211335842454057,16
4,"""a""",6,0.0042440308627872,0.011753346022907615,-0.0011250481431853436,0.010002152626559272,16
4,"""a""",7,0.0012174661764400001,0.010061253777913167,-0.003683190966943431,0.005849879026177956,16
4,"""a""",8,-0.00048475367987600606,0.01166229545800334,-0.005941868187005847,0.005064470472950274,16
4,"""a""",9,0.006616959684514825,0.011234956973011571,0.0013404615911489508,0.011897813970236062,16
4,"""a""",10,0.010914719949284599,0.012565595436874312,0.004794638301407788,0.01659976435365327,16
4,"""a""",11,0.016296102764806537,0.012848663588864806,0.010596205957930241,0.022795954896513974,16
4,"""a""",12,0.01852727817042413,0.013880114011428808,0.012564022335853598,0.025286123450570634,16
4,"""a""",13,0.01715982413752892,0.014747438162329804,0.010757806147427692,0.024611985545552436,16
4,"""a""",14,0.0216595026380011,0.015872614026923606,0.014522657784570426,0.029384210018171826,16
4,"""a""",15,0.020987278620188843,0.015234984204063672,0.013812710617868675,0.02830154444599072,16
4,"""a""",16,0.017908248046863143,0.015369098126655371,0.010752497625076652,0.02532878924737995,16
4,"""a""",17,0.027125756129340158,0.01416556346987668,0.02045231263404305,0.03402188521047754,16
4,"""a""",18,0.024195983977331692,0.015172077216762926,0.017478293481869578,0.031468937784264274,16
4,"""a""",19,0.023264115319169935,0.014537720047760197,0.016531342082502377,0.030504363666005774,16
4,"""a""",20,0.027160377372935224,0.01662986765270628,0.019556578478303457,0.03535509406086149,16
4,"""a""",21,0.024213336648302462,0.01656452408258663,0.016599958536764353,0.03221160644832017,16
4,"""a""",22,0.024218359703245783,0.01639748817380929,0.016437101694757816,0.03212968889351479,16
4,"""a""",23,0.0213292257896575,0.018116285177703896,0.013089165270155034,0.030038131882734527,16
4,"""a""",24,0.03949148263463394,0.014120715641607993,0.03296991145003372,0.04647281624905646,16
4,"""a""",25,0.041011561820154294,0.014015226453463848,0.034416277471816414,0.04747122052040689,16
4,"""a""",26,0.046953843569375125,0.016995093070270622,0.03888069198027195,0.055312251841690106,16
4,"""a""",27,0.04134355006693399,0.014611335278823025,0.03444470965918691,0.04810362929143334,16
4,"""a""",28,0.04229728895758788,0.017603094432797617,0.03416404456939325,0.05103515949737339,16
4,"""a""",29,0.036530218507613024,0.015490851434500798,0.029256806411316498,0.04407010852485158,16
4,"""a""",30,0.02937908430991943,0.015177339400891502,0.02204016175519779,0.036605625935404375,16
4,"""a""",31,0.014565799772239407,0.011946154683227567,0.009103858935023062,0.02057552283537514,16
4,"""a""",32,0.012302037189858606,0.010229035649679374,0.007596037220455256,0.017030184301441115,16
4,"""a""",33,0.0108765636611283,0.009115797680622177,0.006415670560392822,0.015114238460642866,16
4,"""a""",34,0.0065185950414475245,0.00969032176887218,0.001978248288245819,0.011035809906291808,16
4,"""a""",35,0.0,0.0,0.0,0.0,16
5,"""celebrated""",0,0.010836736537563743,0.03470853792527433,-0.00355893472103418,0.028579634978991575,16
5,"""celebrated""",1,0.005910492719965968,0.030878030637239474,-0.007260831267056185,0.021146629801060236,16
5,"""celebrated""",2,0.005463124776418456,0.02792880472909114,-0.007016246071854221,0.019462343410813803,16
5,"""celebrated""",3,0.0031572224242261003,0.021878072835444153,-0.006221526909390941,0.014245656753515593,16
5,"""celebrated""",4,-0.00025173429626529353,0.01877518908905933,-0.008464527701566119,0.009114816065890865,16
5,"""celebrated""",5,0.0029861358778701438,0.00894265134447814,-0.001140324033756596,0.007211388384163574,16
5,"""celebrated""",6,-0.0006847655989720561,0.011155269785977988,-0.005915490357451674,0.004807855721765262,16
5,"""celebrated""",7,0.0037045266824678436,0.008126266791714496,-2.7734294211969446e-05,0.007635791394678014,16
5,"""celebrated""",8,-0.0015649969690746252,0.01219394627310314,-0.007312177884013236,0.004376544549327391,16
5,"""celebrated""",9,0.004145709755038537,0.012729670883721842,-0.0019375295357122737,0.010368564976830676,16
