layer,position_group,mean,ci_low,ci_high,n_pairs
22,all_prompt_positions_oracle,1.0,1.0,1.0,16
22,except_subject,0.14756249939551763,0.09771055789137052,0.19350308887503367,16
22,final_token,0.030009238261054155,-0.009729442750056837,0.07264685719963793,16
22,first_role,0.01487074346529249,0.008276339359427098,0.021478770833059182,16
22,post_subject_excluding_final,0.10407363556637408,0.08110374358659367,0.13144464033682673,16
22,post_subject_including_final,0.14756249939551763,0.0937044518576688,0.19413183078404309,16
22,second_role,0.01229127968255975,0.005783442148411089,0.018404452622864685,16
22,subject_span,0.8524375006044824,0.8045474311151481,0.9066470866903296,16
22,unrelated_prefix_negative_control,0.0,0.0,0.0,16
23,all_prompt_positions_oracle,1.0,1.0,1.0,16
23,except_subject,0.2710622948697378,0.20590815003609755,0.3357507764938451,16
23,final_token,0.10813126072500442,0.048802130801400695,0.1682028128033928,16
23,first_role,0.012948928052380338,0.009143216051987039,0.016226959995059777,16
23,post_subject_excluding_final,0.13433063166480386,0.11112507443805156,0.15762784524905937,16
23,post_subject_including_final,0.2710622948697378,0.21024152732017087,0.33111642541908454,16
23,second_role,0.018580488557975523,0.012694219279776455,0.02411847901701427,16
23,subject_span,0.7289377051302622,0.6577124590548404,0.7954552716180442,16
23,unrelated_prefix_negative_control,0.0,0.0,0.0,16
24,all_prompt_positions_oracle,1.0,1.0,1.0,16
24,except_subject,0.5998062503363468,0.5323259565755984,0.6690374809948694,16
24,final_token,0.35728325315454096,0.27901172711356015,0.4299921640063139,16
24,first_role,0.011361331852777224,0.007700417885068124,0.014955823017390726,16
24,post_subject_excluding_final,0.20949172190754264,0.19132545858936717,0.22855867880752218,16
24,post_subject_including_final,0.5998062503363468,0.5287689995870143,0.6698267702023312,16
24,second_role,0.024277572573849403,0.017410744783749415,0.03178365791737636,16
24,subject_span,0.40019374966365323,0.3262108185955451,0.4677437391568033,16
24,unrelated_prefix_negative_control,0.0,0.0,0.0,16
25,all_prompt_positions_oracle,1.0,1.0,1.0,16
25,except_subject,0.6046300748982227,0.5258793384997651,0.6759465347803552,16
25,final_token,0.36105777979211906,0.290192323198341,0.43069125514374623,16
25,first_role,0.01165921842405509,0.00729845771596032,0.015840756755568067,16
25,post_subject_excluding_final,0.20542583273135934,0.18361696918628753,0.226011493287287,16
25,post_subject_including_final,0.6046300748982227,0.5301470311287725,0.6751979866176081,16
25,second_role,0.025454861916310526,0.01955608261568665,0.0312589924619273,16
25,subject_span,0.3953699251017772,0.32035575822536705,0.47519795904523965,16
25,unrelated_prefix_negative_control,0.0,0.0,0.0,16
26,all_prompt_positions_oracle,1.0,1.0,1.0,16
26,except_subject,0.8000617252664504,0.7420248814810804,0.8562532903026374,16
26,final_token,0.5561141002017957,0.49448785002550044,0.616276483593861,16
26,first_role,0.01111617721764731,0.006583602509585855,0.01617706511050965,16
26,post_subject_excluding_final,0.2419055332223917,0.22096821758718108,0.26593257507378143,16
26,post_subject_including_final,0.8000617252664504,0.7431906456492854,0.8562504629255548,16
26,second_role,0.03269682870984566,0.02517508956353839,0.04104921007969943,16
26,subject_span,0.19993827473354958,0.1455028366228886,0.25789149649665244,16
26,unrelated_prefix_negative_control,0.0,0.0,0.0,16
27,all_prompt_positions_oracle,1.0,1.0,1.0,16
27,except_subject,0.8376733488792956,0.7870220510477834,0.8869505929975241,16
27,final_token,0.6250507677181506,0.5709976102390079,0.6809390533401689,16
27,first_role,0.011267469705796415,0.006928902335691129,0.01596460649043954,16
27,post_subject_excluding_final,0.21687895868692172,0.19261019554599268,0.24193333623480204,16
27,post_subject_including_final,0.8376733488792956,0.7917868297410044,0.8906009078926916,16
27,second_role,0.029465255654376042,0.021655867875996552,0.03784695718712847,16
27,subject_span,0.16232665112070443,0.11330895629639795,0.21321835275927506,16
27,unrelated_prefix_negative_control,0.0,0.0,0.0,16
28,all_prompt_positions_oracle,1.0,1.0,1.0,16
28,except_subject,0.8368766690415433,0.7890086194191466,0.8911741375788821,16
28,final_token,0.6285833806832084,0.5748067621997959,0.6846054575370037,16
28,first_role,0.01078195800433827,0.007213642668605904,0.014196651712374466,16
28,post_subject_excluding_final,0.2092666244074982,0.18400427736032549,0.2362110627243611,16
28,post_subject_including_final,0.8368766690415433,0.7856408209422702,0.8905089439030875,16
28,second_role,0.02694527079141634,0.017803079247282468,0.036566293667666006,16
28,subject_span,0.16312333095845666,0.10889117749221705,0.208456496206762,16
28,unrelated_prefix_negative_control,0.0,0.0,0.0,16
29,all_prompt_positions_oracle,1.0,1.0,1.0,16
29,except_subject,0.8454491229915315,0.8139190320499785,0.8811068175122866,16
29,final_token,0.6663399972469081,0.6262745441263042,0.7064022239166751,16
29,first_role,0.009064925037305304,0.005660036450477628,0.012326600784085005,16
29,post_subject_excluding_final,0.1877650775800264,0.16140733715675026,0.21879014198241187,16
29,post_subject_including_final,0.8454491229915315,0.814944080044153,0.8796620884345118,16
29,second_role,0.02409962481465214,0.015298974664008327,0.033791040454643394,16
29,subject_span,0.15455087700846853,0.1205081911348837,0.1861884364576421,16
29,unrelated_prefix_negative_control,0.0,0.0,0.0,16
30,all_prompt_positions_oracle,1.0,1.0,1.0,16
30,except_subject,0.8549325181953247,0.8222727615577047,0.8911996412037938,16
30,final_token,0.7112334127953257,0.6664056103630133,0.7568600525114317,16
30,first_role,0.0028554801215184764,-0.0019350278284563855,0.00754313445334884,16
30,post_subject_excluding_final,0.1555731057556501,0.1260897764457961,0.19186848901393566,16
30,post_subject_including_final,0.8549325181953247,0.8219866248309016,0.8923836865633129,16
30,second_role,0.017455576487430003,0.009795520796556188,0.026120981752099974,16
30,subject_span,0.14506748180467524,0.10955793543805169,0.17822148442434002,16
