layer,position_group,mean,std,count
20,second_role,0.009594386633690846,0.012767836489576221,16
20,subject_span,0.8737229032586744,0.10447262381707367,16
20,unrelated_prefix_negative_control,0.0,0.0,16
21,all_prompt_positions_oracle,1.0,0.0,16
21,except_subject,0.14108155514880444,0.10634693241518058,16
21,final_token,0.020436246380742863,0.0804274351886035,16
21,first_role,0.017375395649442012,0.01304990074849208,16
21,post_subject_excluding_final,0.09942617158953186,0.051226445872177895,16
21,post_subject_including_final,0.14108155514880444,0.10634693241518058,16
21,second_role,0.01414009362200453,0.015068215028236876,16
21,subject_span,0.8589184448511956,0.10634693241518056,16
21,unrelated_prefix_negative_control,0.0,0.0,16
22,all_prompt_positions_oracle,1.0,0.0,16
22,except_subject,0.14756249939551763,0.10641168171628884,16
22,final_token,0.030009238261054155,0.08452585621696572,16
22,first_role,0.01487074346529249,0.014532585873170854,16
22,post_subject_excluding_final,0.10407363556637408,0.05158360163023961,16
22,post_subject_including_final,0.14756249939551763,0.10641168171628884,16
22,second_role,0.01229127968255975,0.012887657119290524,16
22,subject_span,0.8524375006044824,0.10641168171628883,16
22,unrelated_prefix_negative_control,0.0,0.0,16
23,all_prompt_positions_oracle,1.0,0.0,16
23,except_subject,0.2710622948697378,0.13815740546419264,16
23,final_token,0.10813126072500442,0.12736981299396877,16
23,first_role,0.012948928052380338,0.0074215780877323395,16
23,post_subject_excluding_final,0.13433063166480386,0.047897926310485575,16
23,post_subject_including_final,0.2710622948697378,0.13815740546419264,16
23,second_role,0.018580488557975523,0.011951277945986796,16
23,subject_span,0.7289377051302622,0.13815740546419264,16
23,unrelated_prefix_negative_control,0.0,0.0,16
24,all_prompt_positions_oracle,1.0,0.0,16
24,except_subject,0.5998062503363468,0.14907731719866357,16
24,final_token,0.35728325315454096,0.15830902637321376,16
24,first_role,0.011361331852777224,0.007766554601796423,16
24,post_subject_excluding_final,0.20949172190754264,0.03802713175897139,16
24,post_subject_including_final,0.5998062503363468,0.14907731719866357,16
24,second_role,0.024277572573849403,0.015172868438368136,16
24,subject_span,0.40019374966365323,0.14907731719866357,16
24,unrelated_prefix_negative_control,0.0,0.0,16
25,all_prompt_positions_oracle,1.0,0.0,16
25,except_subject,0.6046300748982227,0.15244797710123234,16
25,final_token,0.36105777979211906,0.1571644831129838,16
25,first_role,0.01165921842405509,0.009238129483670622,16
25,post_subject_excluding_final,0.20542583273135934,0.043366254799509785,16
25,post_subject_including_final,0.6046300748982227,0.15244797710123234,16
25,second_role,0.025454861916310526,0.01246991895576721,16
25,subject_span,0.3953699251017772,0.15244797710123234,16
25,unrelated_prefix_negative_control,0.0,0.0,16
26,all_prompt_positions_oracle,1.0,0.0,16
26,except_subject,0.8000617252664504,0.11975296769179093,16
26,final_token,0.5561141002017957,0.13463323832470375,16
26,first_role,0.01111617721764731,0.009389508039001052,16
26,post_subject_excluding_final,0.2419055332223917,0.04839843817054678,16
26,post_subject_including_final,0.8000617252664504,0.11975296769179093,16
26,second_role,0.03269682870984566,0.016634623361023077,16
26,subject_span,0.19993827473354958,0.11975296769179093,16
26,unrelated_prefix_negative_control,0.0,0.0,16
27,all_prompt_positions_oracle,1.0,0.0,16
27,except_subject,0.8376733488792956,0.10486543110362241,16
27,final_token,0.6250507677181506,0.11572226596394063,16
27,first_role,0.011267469705796415,0.009757460774301755,16
27,post_subject_excluding_final,0.21687895868692172,0.05198910976767123,16
27,post_subject_including_final,0.8376733488792956,0.10486543110362241,16
27,second_role,0.029465255654376042,0.016912734502709827,16
27,subject_span,0.16232665112070443,0.10486543110362241,16
27,unrelated_prefix_negative_control,0.0,0.0,16
28,all_prompt_positions_oracle,1.0,0.0,16
28,except_subject,0.8368766690415433,0.10441986912686661,16
28,final_token,0.6285833806832084,0.1133924664982844,16
28,first_role,0.01078195800433827,0.0073846892155643796,16
28,post_subject_excluding_final,0.2092666244074982,0.055453366927030984,16
28,post_subject_including_final,0.8368766690415433,0.10441986912686661,16
28,second_role,0.02694527079141634,0.01903783710170953,16
28,subject_span,0.16312333095845666,0.10441986912686664,16
28,unrelated_prefix_negative_control,0.0,0.0,16
29,all_prompt_positions_oracle,1.0,0.0,16
29,except_subject,0.8454491229915315,0.06878822112477852,16
29,final_token,0.6663399972469081,0.08503334576395247,16
29,first_role,0.009064925037305304,0.007150776866126514,16
29,post_subject_excluding_final,0.1877650775800264,0.0615766509449046,16
29,post_subject_including_final,0.8454491229915315,0.06878822112477852,16
29,second_role,0.02409962481465214,0.019963845682143194,16
29,subject_span,0.15455087700846853,0.06878822112477853,16
29,unrelated_prefix_negative_control,0.0,0.0,16
30,all_prompt_positions_oracle,1.0,0.0,16
30,except_subject,0.8549325181953247,0.07382771421636444,16
30,final_token,0.7112334127953257,0.09580406962546839,16
30,first_role,0.0028554801215184764,0.010537751235273677,16
30,post_subject_excluding_final,0.1555731057556501,0.07071380523950552,16
30,post_subject_including_final,0.8549325181953247,0.07382771421636444,16
30,second_role,0.017455576487430003,0.018745425160645725,16
30,subject_span,0.14506748180467524,0.07382771421636444,16
30,unrelated_prefix_negative_control,0.0,0.0,16
31,all_prompt_positions_oracle,1.0,0.0,16
31,except_subject,0.899436764507683,0.06404606554288364,16
31,final_token,0.7973590371829452,0.06822645464252129,16
31,first_role,0.003990629694168049,0.008091546546773498,16
31,post_subject_excluding_final,0.10662486316901805,0.04565603122868801,16
31,post_subject_including_final,0.899436764507683,0.06404606554288364,16
31,second_role,0.01904793012990859,0.012902751779666245,16
31,subject_span,0.100563235492317,0.06404606554288365,16
31,unrelated_prefix_negative_control,0.0,0.0,16
32,all_prompt_positions_oracle,1.0,0.0,16
32,except_subject,0.9127824182627574,0.049366232303263466,16
32,final_token,0.8140982569326094,0.05001638388738913,16
32,first_role,0.004668338171364921,0.007814154676678195,16
32,post_subject_excluding_final,0.10267868886319935,0.044477787943241684,16
