placement,filler_family,target_added_tokens,actual_added_tokens,layer,position_group,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
gap,cards,0,0,11,subject_span,normalized_recovery,0.902181081670425,0.9034090909090908,0.09978745345199144,0.8627915676947627,0.9431717413021761,16,8,20260716,2000
gap,cards,0,0,11,unrelated_pre_subject_control,normalized_recovery,-0.00230858815097945,0.0,0.010040159309166605,-0.005849416208791198,0.0006868131868131874,16,8,20260716,2000
gap,cards,0,0,12,all_prompt_positions_oracle,normalized_recovery,1.0,1.0,0.0,1.0,1.0,16,8,20260716,2000
gap,cards,0,0,12,identity_control,normalized_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
gap,cards,0,0,12,post_subject_excluding_readout,normalized_recovery,0.07885202040952757,0.0725524475524475,0.060970883164785834,0.049611054706163366,0.11256373461980329,16,8,20260716,2000
gap,cards,0,0,12,post_subject_including_readout,normalized_recovery,0.09251477308759423,0.09801136363636359,0.10473781335790233,0.04667916039006718,0.1358080132102024,16,8,20260716,2000
gap,cards,0,0,12,readout_token,normalized_recovery,-0.0003949190474162663,0.011705914567360299,0.053051259324758175,-0.016354956750676847,0.013881790129887122,16,8,20260716,2000
gap,cards,0,0,12,subject_span,normalized_recovery,0.9073117752522054,0.9034090909090908,0.10694747405154727,0.8664234363962768,0.949386057500018,16,8,20260716,2000
gap,cards,0,0,12,unrelated_pre_subject_control,normalized_recovery,-0.0018366158284595562,0.0,0.011434549855780018,-0.008431691488391428,0.004967141214763495,16,8,20260716,2000
gap,cards,0,0,13,all_prompt_positions_oracle,normalized_recovery,1.0,1.0,0.0,1.0,1.0,16,8,20260716,2000
gap,cards,0,0,13,identity_control,normalized_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
gap,cards,0,0,13,post_subject_excluding_readout,normalized_recovery,0.07861072151231427,0.07417582417582415,0.05438949671859103,0.05416780909308081,0.1061889226867946,16,8,20260716,2000
