filler_family,target_added_tokens,actual_added_tokens,layer,position_group,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
cards,0,0,10,readout_token,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,10,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,10,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,11,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,11,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,11,post_subject_excluding_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,11,post_subject_including_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,11,readout_token,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,11,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,11,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,12,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,12,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,12,post_subject_excluding_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,12,post_subject_including_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,12,readout_token,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,12,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,12,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,13,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,13,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,13,post_subject_excluding_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,13,post_subject_including_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,13,readout_token,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,13,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,13,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,14,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
