filler_family,target_added_tokens,actual_added_tokens,metric,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
meadow,64,69,steepest_subject_decline_layer,difference,8.75,9.0,7.5321532999092184,4.5,14.0,16,8,20260716,2000
meadow,64,69,strongest_attention_transfer_layer,difference,6.875,9.0,4.2406760467328,3.75,9.375,16,8,20260716,2000
meadow,64,69,subject_recovery_auc,difference,3.0718143263906317,3.0475099348530286,3.60501295838071,1.5758752419719246,4.65450101635303,16,8,20260716,2000
meadow,128,125,intermediate_peak_recovery,difference,-0.11510508988323935,-0.10372512406520155,0.07468653233819501,-0.1607927163148182,-0.07016656439314779,16,8,20260716,2000
meadow,128,125,intermediate_recovery_auc,difference,-1.215663270592176,-0.9683449572894951,2.1141516929530213,-2.7036066789122155,-0.027626920794835086,16,8,20260716,2000
meadow,128,125,post_subject_recovery_auc,difference,-4.79693440444829,-4.5399651669651355,2.413357435334983,-6.076895424264719,-3.5079270707970087,16,8,20260716,2000
meadow,128,125,readout_recovery_auc,difference,-3.518941169540775,-3.4226098724227647,1.3680319143800583,-4.340365264198169,-2.785046190532452,16,8,20260716,2000
meadow,128,125,stable_crossover_layer,difference,7.125,7.0,1.2041594578792296,6.5,7.875,16,8,20260716,2000
meadow,128,125,steepest_readout_increase_layer,difference,7.75,9.0,3.1304951684997055,6.3125,9.0625,16,8,20260716,2000
meadow,128,125,steepest_subject_decline_layer,difference,10.1875,10.0,4.118555572042218,8.5,12.4375,16,8,20260716,2000
meadow,128,125,strongest_attention_transfer_layer,difference,9.0,10.0,1.2110601416389966,8.25,9.75,16,8,20260716,2000
meadow,128,125,subject_recovery_auc,difference,4.743762192819516,4.330773595094064,2.425122626279519,3.4372984835485494,6.05635588719978,16,8,20260716,2000
room,0,0,intermediate_peak_recovery,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,intermediate_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,post_subject_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,readout_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,stable_crossover_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,steepest_readout_increase_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,steepest_subject_decline_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,strongest_attention_transfer_layer,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,0,0,subject_recovery_auc,difference,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
room,8,8,intermediate_peak_recovery,difference,-0.005883218145511449,0.0029153700555003548,0.07733371749846808,-0.06101898642440783,0.03398468900520741,16,8,20260716,2000
room,8,8,intermediate_recovery_auc,difference,0.24465060570791705,0.33154750391432675,1.8148731930215445,-1.017248828160386,1.1841635456770383,16,8,20260716,2000
room,8,8,post_subject_recovery_auc,difference,0.31433384524480085,0.7236854365561198,1.85426745256772,-0.9887548766696205,1.2737519939283846,16,8,20260716,2000
room,8,8,readout_recovery_auc,difference,0.1562784780946201,-0.11647817776361968,0.8441866374396744,-0.26849168539291574,0.6281830093589753,16,8,20260716,2000
