placement,filler_family,target_added_tokens,actual_added_tokens,layer,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
gap,cards,8,10,24,combined_attention_effect,0.16668644230246718,0.1810022742040286,0.05356456814401389,0.12970128101019818,0.19973501508136918,16,8,20260716,2000
gap,cards,8,10,25,combined_attention_effect,-0.0013390268014468018,0.0030864197530864,0.017041968547241732,-0.013564026556435104,0.006646092227095503,16,8,20260716,2000
gap,cards,8,10,26,combined_attention_effect,0.1005950785292376,0.09580246913580248,0.028265834149781618,0.08336712056303547,0.12000233313474397,16,8,20260716,2000
gap,cards,8,10,27,combined_attention_effect,0.06485377329392357,0.05829378774805861,0.02671389559653955,0.04931136971964207,0.08279470902583497,16,8,20260716,2000
gap,cards,8,10,28,combined_attention_effect,-0.0014758184985522102,-0.003289473684210509,0.010509304001002997,-0.007669893029516966,0.004214865761378979,16,8,20260716,2000
gap,cards,8,10,29,combined_attention_effect,0.04100111427085068,0.03311403508771932,0.020521847377656003,0.02882779052982221,0.05479270641989853,16,8,20260716,2000
gap,cards,8,10,30,combined_attention_effect,0.06163385861111484,0.05265151515151509,0.038433709680827446,0.03693543451652383,0.0864125325161105,16,8,20260716,2000
gap,cards,8,10,31,combined_attention_effect,0.15576260313166373,0.14249471458773777,0.07372261537973863,0.11252913259536694,0.20851377474943306,16,8,20260716,2000
gap,cards,8,10,32,combined_attention_effect,0.03418525291721492,0.03002980625931438,0.026990003002182846,0.018314638527083687,0.05277612938528923,16,8,20260716,2000
gap,cards,8,10,33,combined_attention_effect,0.03618704011412781,0.0493421052631579,0.04161189673849241,0.006631501558436255,0.060891429151063846,16,8,20260716,2000
gap,cards,8,10,34,combined_attention_effect,0.14436109598182326,0.1527178602243313,0.03345972088758983,0.12085916778512762,0.16402118830208443,16,8,20260716,2000
gap,cards,8,10,35,combined_attention_effect,0.09404336605346894,0.08942982456140346,0.023105543547879824,0.07981715341508262,0.10997166030725648,16,8,20260716,2000
gap,cards,32,29,0,combined_attention_effect,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
gap,cards,32,29,1,combined_attention_effect,-0.000844552491065051,0.0,0.006572906206498432,-0.004090825171019885,0.002346705548549826,16,8,20260716,2000
gap,cards,32,29,2,combined_attention_effect,-0.0004200595841201653,0.0,0.007146878307602273,-0.003395781509121054,0.003324672220026393,16,8,20260716,2000
gap,cards,32,29,3,combined_attention_effect,0.0003945707070707079,0.0,0.007439000022403641,-0.002035984848484839,0.0026515151515151504,16,8,20260716,2000
gap,cards,32,29,4,combined_attention_effect,8.829942452223336e-05,0.0,0.007424327043970907,-0.0031252591210613493,0.003495774381171391,16,8,20260716,2000
gap,cards,32,29,5,combined_attention_effect,-0.0002813129994207182,0.0,0.00670658022956902,-0.0026170255493366467,0.0024497233253656,16,8,20260716,2000
gap,cards,32,29,6,combined_attention_effect,-0.0015261416046216765,0.0,0.011280214891668404,-0.007849576364630757,0.0032672154774409244,16,8,20260716,2000
gap,cards,32,29,7,combined_attention_effect,0.0009527429605573828,0.0,0.009395432082438603,-0.0022207981183562774,0.0039264248530385916,16,8,20260716,2000
gap,cards,32,29,8,combined_attention_effect,0.002886426846440569,0.0,0.008225820194766115,-0.0016612182328605174,0.006875688881644297,16,8,20260716,2000
gap,cards,32,29,9,combined_attention_effect,0.0007745544344139227,0.0,0.006830607667959173,-0.0029936510683629975,0.004206654241230901,16,8,20260716,2000
gap,cards,32,29,10,combined_attention_effect,-0.0013503186552914618,0.0,0.008443373493611064,-0.0059248719831692526,0.002535399923459618,16,8,20260716,2000
gap,cards,32,29,11,combined_attention_effect,0.0019368890680638456,0.0,0.009678176766156541,-0.0017128028901584951,0.006286129024373464,16,8,20260716,2000
gap,cards,32,29,12,combined_attention_effect,0.0020442476350772693,0.0,0.00681194233459722,0.0006648936170212635,0.003535781828595477,16,8,20260716,2000
gap,cards,32,29,13,combined_attention_effect,0.0025651907507677355,0.0,0.009560416388685608,0.0002904662864190744,0.004555905459590153,16,8,20260716,2000
gap,cards,32,29,14,combined_attention_effect,-0.0007737019071547799,0.0,0.007578131467565729,-0.0036063762626262676,0.0022650995691466855,16,8,20260716,2000
gap,cards,32,29,15,combined_attention_effect,0.00044863634771420474,-1.0408340855860843e-17,0.009464786461579286,-0.003095934618091376,0.004315581034971376,16,8,20260716,2000
gap,cards,32,29,16,combined_attention_effect,-0.001518340602640379,0.0,0.007603708114211447,-0.00425813068886456,0.0013476107226107396,16,8,20260716,2000
gap,cards,32,29,17,combined_attention_effect,-0.001888709646165173,0.0,0.0067711146140478256,-0.005005171394799059,0.0005905623861566542,16,8,20260716,2000
gap,cards,32,29,18,combined_attention_effect,0.000999828889883282,0.0,0.009553180121659175,-0.0032872231288953242,0.005036371174430874,16,8,20260716,2000
gap,cards,32,29,19,combined_attention_effect,0.004269260546022231,2.168404344971009e-17,0.00773705053009662,0.0015370046620046597,0.007509183543904918,16,8,20260716,2000
gap,cards,32,29,20,combined_attention_effect,0.0026882223637068508,1.8214596497756474e-17,0.008282527683817027,-0.0022589664300838703,0.005721887741306001,16,8,20260716,2000
gap,cards,32,29,21,combined_attention_effect,0.000565348008452176,-6.938893903907228e-18,0.009388407037202288,-0.003944555611330603,0.005368386732106404,16,8,20260716,2000
