placement,filler_family,target_added_tokens,actual_added_tokens,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples,metric
prefix,room,128,127,steepest_subject_decline_layer,24.375,24.0,1.02469507659596,23.875,25.0,16,8,20260716,2000,steepest_subject_decline_layer
gap,cards,0,0,steepest_readout_increase_layer,24.625,24.0,0.9574271077563381,24.25,25.125,16,8,20260716,2000,steepest_readout_increase_layer
gap,cards,8,10,steepest_readout_increase_layer,28.875,31.0,4.588027898781785,26.5625,31.25,16,8,20260716,2000,steepest_readout_increase_layer
gap,cards,32,29,steepest_readout_increase_layer,33.25,34.0,1.3416407864998738,32.5,34.0,16,8,20260716,2000,steepest_readout_increase_layer
gap,cards,64,68,steepest_readout_increase_layer,33.25,34.0,1.3416407864998738,32.5,34.0,16,8,20260716,2000,steepest_readout_increase_layer
gap,cards,128,126,steepest_readout_increase_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,steepest_readout_increase_layer
gap,meadow,0,0,steepest_readout_increase_layer,24.625,24.0,0.9574271077563381,24.25,25.125,16,8,20260716,2000,steepest_readout_increase_layer
gap,meadow,8,8,steepest_readout_increase_layer,32.875,34.0,1.408308678285174,32.0,33.625,16,8,20260716,2000,steepest_readout_increase_layer
gap,meadow,32,35,steepest_readout_increase_layer,33.25,34.0,1.3416407864998738,32.5,34.0,16,8,20260716,2000,steepest_readout_increase_layer
gap,meadow,64,69,steepest_readout_increase_layer,33.4375,34.0,1.2093386622447824,32.6875,34.0,16,8,20260716,2000,steepest_readout_increase_layer
gap,meadow,128,125,steepest_readout_increase_layer,33.625,34.0,1.02469507659596,32.875,34.0,16,8,20260716,2000,steepest_readout_increase_layer
gap,room,0,0,steepest_readout_increase_layer,24.625,24.0,0.9574271077563381,24.25,25.125,16,8,20260716,2000,steepest_readout_increase_layer
gap,room,8,8,steepest_readout_increase_layer,27.625,24.0,4.7871355387816905,25.375,30.1875,16,8,20260716,2000,steepest_readout_increase_layer
