layer,head,source_position,value_field,mean,median,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
23,20,4,combined_causal_effect,0.0024515163285564225,0.004807692307692299,-0.0018873343905697216,0.0062958693642604585,16,8,20260715,2000
23,20,5,combined_causal_effect,0.0024724618678423063,0.0,0.0002626811594202946,0.005011752004788691,16,8,20260715,2000
23,20,6,combined_causal_effect,0.001005077973662226,0.0,-0.003114084850837568,0.0046284043359151586,16,8,20260715,2000
23,20,7,combined_causal_effect,0.0021521638467990436,0.0,-0.0003858615873626458,0.004468439187838602,16,8,20260715,2000
23,20,8,combined_causal_effect,0.003992649731614424,0.005681818181818207,-0.0003669127705857941,0.008250711226878798,16,8,20260715,2000
23,20,9,combined_causal_effect,0.0010456677041255898,0.0,-0.0030841178183229744,0.004687197249930779,16,8,20260715,2000
23,21,0,combined_causal_effect,0.001809095174076845,0.0,-0.0017966503216695446,0.005166578741534134,16,8,20260715,2000
23,21,1,combined_causal_effect,0.0005177310793798525,0.0,-0.0022932218002444465,0.003223448030683093,16,8,20260715,2000
23,21,10,combined_causal_effect,-0.00015870757276598222,0.0,-0.005205197881828314,0.003918579837745625,16,8,20260715,2000
23,21,2,combined_causal_effect,0.0008577231765091932,4.336808689942018e-18,-0.004240253971571887,0.005350050764452941,16,8,20260715,2000
23,21,3,combined_causal_effect,0.0016487639977830365,1.8214596497756474e-17,-0.0023184916306519415,0.004929881374518611,16,8,20260715,2000
23,21,4,combined_causal_effect,-0.0001884173917142765,0.0,-0.004612878949096772,0.0039974065789283135,16,8,20260715,2000
23,21,5,combined_causal_effect,0.0029913405794921,0.002403846153846148,-0.0019642943686802505,0.007491813440864409,16,8,20260715,2000
23,21,6,combined_causal_effect,0.0018520239963895017,0.0,-0.001080712389365477,0.004574372886940408,16,8,20260715,2000
23,21,7,combined_causal_effect,0.0009106473236908063,0.002403846153846154,-0.002876955698287214,0.0040826672195558,16,8,20260715,2000
23,21,8,combined_causal_effect,0.00045945749291742473,0.0,-0.0039238071710897765,0.004201486165937038,16,8,20260715,2000
23,21,9,combined_causal_effect,0.0013391401411143476,0.0,-0.003664095850865339,0.00573645883388591,16,8,20260715,2000
23,22,0,combined_causal_effect,0.0005636572447054887,0.0,-0.0033217081654901334,0.003868423035597853,16,8,20260715,2000
23,22,1,combined_causal_effect,0.002123198983087586,4.336808689942018e-18,-0.0014802241040782183,0.004953443376324346,16,8,20260715,2000
23,22,10,combined_causal_effect,0.0006578204404291371,0.0,-0.0022554347826086903,0.0038193464144551125,16,8,20260715,2000
23,22,2,combined_causal_effect,-1.6686212338382794e-05,0.0,-0.00378793760587237,0.0030637953531975244,16,8,20260715,2000
23,22,3,combined_causal_effect,-0.00046787904124860304,0.0,-0.003568840579710145,0.0021077201783723572,16,8,20260715,2000
23,22,4,combined_causal_effect,0.0026114802330875855,0.002840909090909091,-0.0009091938405797107,0.005748235144876558,16,8,20260715,2000
23,22,5,combined_causal_effect,0.0007217683824382328,0.0,-0.002318076716450791,0.0035159777239850195,16,8,20260715,2000
23,22,6,combined_causal_effect,0.001191817693176393,0.0,-0.0035257677105503156,0.005790031978890677,16,8,20260715,2000
23,22,7,combined_causal_effect,0.0019845612381278184,0.0021739130434782765,-0.0021314631360487353,0.004754318937403186,16,8,20260715,2000
23,22,8,combined_causal_effect,0.0014423583097156452,0.0024038461538461453,-0.0027902577919137047,0.005163064156461738,16,8,20260715,2000
23,22,9,combined_causal_effect,0.0005469796281616897,0.0,-0.0033065772118506497,0.005044576404121232,16,8,20260715,2000
23,23,0,combined_causal_effect,0.002967158013187917,0.0024038461538461453,0.00024281326831003509,0.005472109782835182,16,8,20260715,2000
23,23,1,combined_causal_effect,-0.0015671699797059936,0.0,-0.005569488614041149,0.0017342086115822357,16,8,20260715,2000
23,23,10,combined_causal_effect,0.0007525890110849476,0.0,-0.0034821049082258255,0.004476615552031337,16,8,20260715,2000
23,23,2,combined_causal_effect,0.0016144627571278488,0.0,-0.0027156281763045095,0.00614759787314135,16,8,20260715,2000
23,23,3,combined_causal_effect,0.0019142323376379205,0.0,-0.001679503693769986,0.005301201081826984,16,8,20260715,2000
23,23,4,combined_causal_effect,0.0005983992796153154,0.0,-0.0036727306180006597,0.004514754663361994,16,8,20260715,2000
23,23,5,combined_causal_effect,-2.4408731437935516e-05,0.0,-0.002328486013151987,0.0022603803592295513,16,8,20260715,2000
23,23,6,combined_causal_effect,0.0015991941149910021,0.0,-0.0011109949832775862,0.003961615869343247,16,8,20260715,2000
23,23,7,combined_causal_effect,1.2829732772687969e-05,0.0,-0.004219361140213016,0.003681943645071889,16,8,20260715,2000
23,23,8,combined_causal_effect,0.002032989542842137,0.0,-0.0021152851896717164,0.005494852239251714,16,8,20260715,2000
23,23,9,combined_causal_effect,0.0012056316086567504,0.0,-0.0028013643576335987,0.004592458888484701,16,8,20260715,2000
23,24,0,combined_causal_effect,0.0012888914188166898,0.002173913043478261,-0.0028993999094202834,0.004880972599637674,16,8,20260715,2000
23,24,1,combined_causal_effect,0.002537727841909924,0.0024038461538461453,-0.0020670923633092364,0.006481652237346129,16,8,20260715,2000
23,24,10,combined_causal_effect,0.0020950214880282973,0.0,-0.00041116718426501204,0.004129175493590356,16,8,20260715,2000
23,24,2,combined_causal_effect,0.00036167257855642076,0.0,-0.0036633532907310033,0.004042839220267687,16,8,20260715,2000
23,24,3,combined_causal_effect,0.0015131267064032148,0.002840909090909091,-0.0036303942533349627,0.0065869396122473665,16,8,20260715,2000
23,24,4,combined_causal_effect,-0.0003023863032375293,0.0,-0.0033635604671650937,0.0030840905400475243,16,8,20260715,2000
23,24,5,combined_causal_effect,0.0011358771443710383,0.0,-0.002899416140924293,0.0045456766971733,16,8,20260715,2000
23,24,6,combined_causal_effect,0.0019284165230177544,4.336808689942018e-18,-0.0011290066923538306,0.004808851210231187,16,8,20260715,2000
23,24,7,combined_causal_effect,0.0021471816792808635,0.002403846153846158,-0.0019211552713590734,0.005703118142613717,16,8,20260715,2000
23,24,8,combined_causal_effect,0.0017116805296153133,0.0,-0.0016267292490118525,0.004769271150045604,16,8,20260715,2000
23,24,9,combined_causal_effect,0.0004006327671368306,0.0,-0.002865894885327917,0.0035945146339168197,16,8,20260715,2000
23,25,0,combined_causal_effect,-0.000710876532887402,0.0,-0.00413043478260869,0.0027086817168338866,16,8,20260715,2000
23,25,1,combined_causal_effect,0.001666869589425983,0.0,-0.0010108217501304533,0.003967965232912925,16,8,20260715,2000
