pair_id,layer,intervention,observed,previous,absolute_delta
scientist_Darwin_into_Newton,17,previous_direct_P10_curve,-0.09565217391304348,-0.09401709401709402,0.001635079895949465
scientist_Darwin_into_Newton,18,previous_direct_P10_curve,-0.09565217391304348,-0.08547008547008547,0.01018208844295801
scientist_Darwin_into_Newton,19,previous_direct_P10_curve,-0.0782608695652174,-0.09401709401709402,0.01575622445187662
scientist_Darwin_into_Newton,20,previous_direct_P10_curve,-0.0782608695652174,-0.09401709401709402,0.01575622445187662
scientist_Darwin_into_Newton,21,previous_direct_P10_curve,-0.06956521739130435,-0.08547008547008547,0.015904868078781123
scientist_Darwin_into_Newton,22,previous_direct_P10_curve,-0.06956521739130435,-0.05982905982905983,0.009736157562244517
scientist_Darwin_into_Newton,23,previous_direct_P10_curve,-0.05217391304347826,-0.06837606837606838,0.016202155332590125
scientist_Darwin_into_Newton,24,previous_direct_P10_curve,0.09565217391304348,0.09401709401709402,0.001635079895949465
scientist_Darwin_into_Newton,25,previous_direct_P10_curve,0.10434782608695652,0.10256410256410256,0.0017837235228539555
scientist_Darwin_into_Newton,26,previous_direct_P10_curve,0.3565217391304348,0.3333333333333333,0.023188405797101463
scientist_Darwin_into_Newton,27,previous_direct_P10_curve,0.48695652173913045,0.46153846153846156,0.02541806020066889
scientist_Darwin_into_Newton,28,previous_direct_P10_curve,0.5304347826086957,0.5128205128205128,0.017614269788182924
scientist_Darwin_into_Newton,29,previous_direct_P10_curve,0.6173913043478261,0.6068376068376068,0.010553697510219284
scientist_Darwin_into_Newton,30,previous_direct_P10_curve,0.6956521739130435,0.6752136752136753,0.0204384986993682
scientist_Darwin_into_Newton,31,previous_direct_P10_curve,0.7913043478260869,0.7777777777777778,0.01352657004830915
scientist_Darwin_into_Newton,32,previous_direct_P10_curve,0.8347826086956521,0.8205128205128205,0.014269788182831644
scientist_Darwin_into_Newton,33,previous_direct_P10_curve,0.8347826086956521,0.811965811965812,0.02281679672984016
scientist_Darwin_into_Newton,34,previous_direct_P10_curve,0.9391304347826087,0.9316239316239316,0.007506503158677069
scientist_Darwin_into_Newton,35,previous_direct_P10_curve,1.0,1.0,0.0
scientist_Einstein_into_Darwin,0,previous_P02_source_curve,1.0096153846153846,1.0192307692307692,0.009615384615384581
scientist_Einstein_into_Darwin,1,previous_P02_source_curve,1.0,1.0192307692307692,0.019230769230769162
scientist_Einstein_into_Darwin,2,previous_P02_source_curve,1.0576923076923077,1.0288461538461537,0.028846153846153966
scientist_Einstein_into_Darwin,3,previous_P02_source_curve,1.0673076923076923,1.0769230769230769,0.009615384615384581
scientist_Einstein_into_Darwin,4,previous_P02_source_curve,1.1057692307692308,1.0961538461538463,0.009615384615384581
scientist_Einstein_into_Darwin,5,previous_P02_source_curve,1.1153846153846154,1.1346153846153846,0.019230769230769162
scientist_Einstein_into_Darwin,6,previous_P02_source_curve,1.125,1.1346153846153846,0.009615384615384581
scientist_Einstein_into_Darwin,7,previous_P02_source_curve,1.1153846153846154,1.125,0.009615384615384581
scientist_Einstein_into_Darwin,8,previous_P02_source_curve,1.1826923076923077,1.1923076923076923,0.009615384615384581
scientist_Einstein_into_Darwin,9,previous_P02_source_curve,1.1634615384615385,1.1730769230769231,0.009615384615384581
scientist_Einstein_into_Darwin,10,previous_P02_source_curve,1.1923076923076923,1.2019230769230769,0.009615384615384581
scientist_Einstein_into_Darwin,11,previous_P02_source_curve,1.1346153846153846,1.1442307692307692,0.009615384615384581
scientist_Einstein_into_Darwin,12,previous_P02_source_curve,1.1346153846153846,1.1442307692307692,0.009615384615384581
scientist_Einstein_into_Darwin,13,previous_P02_source_curve,1.1346153846153846,1.1538461538461537,0.019230769230769162
scientist_Einstein_into_Darwin,14,previous_P02_source_curve,1.125,1.1346153846153846,0.009615384615384581
scientist_Einstein_into_Darwin,15,previous_P02_source_curve,1.125,1.1346153846153846,0.009615384615384581
scientist_Einstein_into_Darwin,16,previous_P02_source_curve,1.1153846153846154,1.125,0.009615384615384581
scientist_Einstein_into_Darwin,17,previous_P02_source_curve,1.1153846153846154,1.125,0.009615384615384581
scientist_Einstein_into_Darwin,18,previous_P02_source_curve,1.0961538461538463,1.1057692307692308,0.009615384615384581
scientist_Einstein_into_Darwin,19,previous_P02_source_curve,1.0865384615384615,1.1057692307692308,0.019230769230769384
scientist_Einstein_into_Darwin,20,previous_P02_source_curve,1.0865384615384615,1.0961538461538463,0.009615384615384803
scientist_Einstein_into_Darwin,21,previous_P02_source_curve,1.0769230769230769,1.0865384615384615,0.009615384615384581
scientist_Einstein_into_Darwin,22,previous_P02_source_curve,1.0865384615384615,1.0865384615384615,0.0
scientist_Einstein_into_Darwin,23,previous_P02_source_curve,0.9807692307692307,0.9903846153846154,0.009615384615384692
scientist_Einstein_into_Darwin,24,previous_P02_source_curve,0.6634615384615384,0.6634615384615384,0.0
scientist_Einstein_into_Darwin,25,previous_P02_source_curve,0.6634615384615384,0.6730769230769231,0.009615384615384692
scientist_Einstein_into_Darwin,26,previous_P02_source_curve,0.3942307692307692,0.40384615384615385,0.009615384615384637
scientist_Einstein_into_Darwin,27,previous_P02_source_curve,0.25961538461538464,0.2692307692307692,0.009615384615384581
scientist_Einstein_into_Darwin,28,previous_P02_source_curve,0.25961538461538464,0.28846153846153844,0.0288461538461538
scientist_Einstein_into_Darwin,29,previous_P02_source_curve,0.23076923076923078,0.23076923076923078,0.0
scientist_Einstein_into_Darwin,30,previous_P02_source_curve,0.21153846153846154,0.22115384615384615,0.009615384615384609
scientist_Einstein_into_Darwin,31,previous_P02_source_curve,0.125,0.1346153846153846,0.009615384615384609
scientist_Einstein_into_Darwin,32,previous_P02_source_curve,0.0673076923076923,0.08653846153846154,0.019230769230769232
scientist_Einstein_into_Darwin,33,previous_P02_source_curve,0.0673076923076923,0.07692307692307693,0.009615384615384623
scientist_Einstein_into_Darwin,34,previous_P02_source_curve,0.0,0.009615384615384616,0.009615384615384616
scientist_Einstein_into_Darwin,35,previous_P02_source_curve,0.0,0.0,0.0
